deployment,exp_id,val_id,understand,age,sex,education,languages,enjoyment,problems,fairprice,comments,previous_experience,received_from_id,chain,generation,game_order,game_scores,passed_count,dead_end
COGSCI21-LIVINGDOC-ITER-FR-1,BJLyndwx_,r1xUyh_Dxd,yes,-1.0,,,,,,-$1.00,,,B1MmW_Pgd,Bko_3kLg_,7,"[""explore_exploit_v1"", ""preconditions_v1"", ""relational_v1"", ""plaqueattack_v1"", ""avoid_george_v1"", ""watergame_v1"", ""sokoban_v1"", ""zelda_v1"", ""lemmings_var2_v1"", ""push_boulders_v1""]","[Decimal('376'), Decimal('50'), Decimal('177'), Decimal('0'), Decimal('0'), Decimal('30'), Decimal('248'), Decimal('22'), Decimal('90'), Decimal('40')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,rJcUy5ve_,BJl98J9PeO,yes,20.0,male,graduated_college,English,2,No,$10.00,Dollar amount in USD,None,BJLyndwx_,Bko_3kLg_,8,"[""explore_exploit_v1"", ""preconditions_v1"", ""relational_v1"", ""plaqueattack_v1"", ""avoid_george_v1"", ""watergame_v1"", ""sokoban_v1"", ""zelda_v1"", ""lemmings_var2_v1"", ""push_boulders_v1""]","[Decimal('360'), Decimal('50'), Decimal('146'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('248'), Decimal('55'), Decimal('20'), Decimal('30')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,BkS2ANvld,SJeH3AEvx_,,,,,,,,,,,,BkS2ANvld,0,null,,,returned
COGSCI21-LIVINGDOC-ITER-FR-1,ByA9TVDed,H1eAqTVwlO,,,,,,,,,,,,ByA9TVDed,0,null,,,returned
COGSCI21-LIVINGDOC-ITER-FR-1,HkyrD1Ilu,ByxkBDyUed,yes,21.0,female,some_college,English,2,No,$5.00,"I temporarily forgot the spacebar was an option at the yellow cubes turning blue thing, so my instructions haven't really been helpful there. I remembered though from that point onward.",I haven't before,,HkyrD1Ilu,0,"[""explore_exploit_v1"", ""preconditions_v1"", ""watergame_v1"", ""zelda_v1"", ""avoid_george_v1"", ""plaqueattack_v1"", ""sokoban_v1"", ""push_boulders_v1"", ""relational_v1"", ""lemmings_var2_v1""]","[Decimal('360'), Decimal('50'), Decimal('0'), Decimal('33'), Decimal('0'), Decimal('150'), Decimal('296'), Decimal('20'), Decimal('149'), Decimal('-1')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,rJLNGxUeu,SygI4MxLx_,yes,21.0,male,some_college,English,2,None,$7.00,Interesting and fun survey,None of these games,HkyrD1Ilu,HkyrD1Ilu,1,"[""explore_exploit_v1"", ""preconditions_v1"", ""watergame_v1"", ""zelda_v1"", ""avoid_george_v1"", ""plaqueattack_v1"", ""sokoban_v1"", ""push_boulders_v1"", ""relational_v1"", ""lemmings_var2_v1""]","[Decimal('357'), Decimal('40'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('136'), Decimal('20'), Decimal('157'), Decimal('0')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,H1NLwWUxO,SkgNUwb8g_,yes,18.0,male,some_college,English,2,No,$20.00,,No,rJLNGxUeu,HkyrD1Ilu,2,"[""explore_exploit_v1"", ""preconditions_v1"", ""watergame_v1"", ""zelda_v1"", ""avoid_george_v1"", ""plaqueattack_v1"", ""sokoban_v1"", ""push_boulders_v1"", ""relational_v1"", ""lemmings_var2_v1""]","[Decimal('384'), Decimal('50'), Decimal('15'), Decimal('44'), Decimal('0'), Decimal('0'), Decimal('300'), Decimal('30'), Decimal('179'), Decimal('51')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,B1iH0lvld,rygjBAgweO,,,,,,,,,,,H1NLwWUxO,HkyrD1Ilu,3,null,,,incomplete
COGSCI21-LIVINGDOC-ITER-FR-1,BJnewxwe_,Syg3xwlwgO,,,,,,,,,,,H1NLwWUxO,HkyrD1Ilu,3,null,,,incomplete
COGSCI21-LIVINGDOC-ITER-FR-1,rJk5beDxd,HyxJqWeveO,,,,,,,,,,,H1NLwWUxO,HkyrD1Ilu,3,null,,,returned
